Rank,Artist,Song,Gender,Year
55,Rare Earth,(I Know) I’m Losing You,Male Group,1970
56,Bobby Sherman,"Easy Come, Easy Go",Male,1970
57,Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,Male Group,1970
58,Four Tops,Still Water (Love),Male Group,1970
59,Chicago,Make Me Smile,Male Group,1970
60,Frijid Pink,House Of The Rising Sun,Male Group,1970
61,Chicago,25 Or 6 To 4,Male Group,1970
62,White Plains,My Baby Loves Lovin’,Male Group,1970
63,Friends Of Distinction,Love Or Let Me Be Lonely,Mixed Group,1970
64,Brotherhood Of Man,United We Stand,Mixed Group,1970
65,Carpenters,We’ve Only Just Begun,Mixed Group,1970
66,Mark Lindsay,Arizona,Male,1970
67,James Taylor,Fire And Rain,Male,1970
68,Gene Chandler,Groovy Situation,Male,1970
69,Santana,Evil Ways,Male,1970
70,Guess Who,No Time,Male Group,1970
71,Delfonics,Didn’t I (Blow Your Mind This Time),Male Group,1970
72,Elvis Presley,The Wonder Of You / Mama Liked The Roses,Male,1970
73,Creedence Clearwater Revival,Up Around The Bend / Run Through The Jungle,Male Group,1970
74,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can’t I Touch You,Male,1970
75,B.J. Thomas,I Just Can’t Help Believing,Male,1970
76,Spinners,It’s A Shame,Male Group,1970
77,Bobbi Martin,For The Love Of Him,Female,1970
78,Mountain,Mississippi Queen,Male Group,1970
79,Ike and Tina Turner,I Want To Take You Higher,Mixed Group,1970
80,Joe Cocker,The Letter,Male,1970
81,Tee Set,Ma Belle Amie,Male Group,1970
82,Originals,The Bells,Male Group,1970
83,Christie,Yellow River,Male Group,1970
84,100 Proof Aged In Soul,Somebody’s Been Sleeping,Mixed Group,1970
85,Ides Of March,Vehicle,Male Group,1970
86,Pipkins,Gimme Dat Ding,Male Group,1970
87,Robin Mcnamara,Lay A Little Lovin’ On Me,Male,1970
88,Supremes,Up The Ladder To The Roof,Female Group,1970
89,Creedence Clearwater Revival,Travelin’ Band / Who’ll Stop The Rain,Male Group,1970
90,Sandpipers,Come Saturday Morning,Male Group,1970
91,Temptations,Psychedelic Shack,Male Group,1970
92,Tom Jones,Without Love (There Is Nothing),Male,1970
93,Pacific Gas and Electric,Are You Ready?,Male Group,1970
94,"Crosby, Stills, Nash and Young",Woodstock,Male Group,1970
95,Dionne Warwick,I’ll Never Fall In Love Again,Female,1970
96,New Seekers,Look What They’ve Done To My Song Ma,Mixed Group,1970
97,Joe South,Walk A Mile In My Shoes,Male,1970
98,B.B. King,The Thrill Is Gone,Male,1970
99,Glen Campbell,It’s Only Make Believe,Male,1970
100,Aretha Franklin,Call Me,Female,1970
1,Captain and Tennille,Love Will Keep Us Together,Mixed Group,1975
2,Glen Campbell,Rhinestone Cowboy,Male,1975
3,Elton John,Philadelphia Freedom,Male,1975
4,Freddy Fender,Before The Next Teardrop Falls,Male,1975
5,Frankie Valli,My Eyes Adored You,Male,1975
6,"Earth, Wind and Fire",Shining Star,Male Group,1975
7,David Bowie,Fame,Male,1975
8,Neil Sedaka,Laughter In The Rain,Male,1975
9,Eagles,One Of These Nights,Male Group,1975
10,John Denver,Thank God I’m A Country Boy,Male,1975
11,Bee Gees,Jive Talkin’,Male Group,1975
12,Eagles,Best Of My Love,Male Group,1975
13,Minnie Riperton,Lovin’ You,Female,1975
14,Carl Douglas,Kung Fu Fighting,Male,1975
15,Doobie Brothers,Black Water,Male Group,1975
16,Sweet,Ballroom Blitz,Male Group,1975
17,B.J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song,Male,1975
18,Tony Orlando and Dawn,He Don’t Love You (Like I Love You),Mixed Group,1975
19,Janis Ian,At Seventeen,Female,1975
20,Average White Band,Pick Up The Pieces,Male Group,1975
21,Van McCoy and The Soul City Symphony,The Hustle,Male,1975
22,Labelle,Lady Marmalade,Female Group,1975
23,War,Why Can’t We Be Friends?,Male Group,1975
24,Major Harris,Love Wont Let Me Wait,Male,1975
25,Stevie Wonder,Boogie On Reggae Woman,Male,1975
26,Freddy Fender,Wasted Days And Wasted Nights,Male,1975
27,Isley Brothers,"Fight The Power, Pt. 1",Male Group,1975
28,Helen Reddy,Angie Baby,Female,1975
29,Ozark Mountain Daredevil,Jackie Blue,Male Group,1975
30,Ohio Players,Fire,Mixed Group,1975
31,Pilot,Magic,Male Group,1975
32,Carpenters,Please Mr. Postman,Mixed Group,1975
33,America,Sister Golden Hair,Male Group,1975
